,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
0,-119.01,36.06,25.0,1505.0,,1392.0,359.0,1.6812,49539.0,INLAND
1,-119.46,35.14,30.0,2943.0,,1565.0,584.0,2.5313,54342.0,INLAND
2,-122.44,37.8,52.0,3830.0,,1310.0,963.0,3.4801,474758.68,NEAR BAY
3,-118.72,34.28,17.0,3051.0,,1705.0,495.0,5.7376,229694.0,<1H OCEAN
4,-121.93,36.62,34.0,2351.0,,1063.0,428.0,3.725,277645.0,NEAR OCEAN
5,-117.61,34.08,12.0,4427.0,,2400.0,843.0,4.7147,160771.0,INLAND
6,-118.02,33.89,36.0,1375.0,,670.0,221.0,5.0839,203541.0,<1H OCEAN
7,-118.08,33.92,38.0,1335.0,,1011.0,269.0,3.6908,160219.0,<1H OCEAN
8,-122.08,37.39,4.0,2292.0,,1050.0,584.0,4.8036,290364.11,NEAR BAY
9,-118.23,34.18,45.0,2332.0,,943.0,339.0,8.1132,462925.33,<1H OCEAN
10,-120.37,38.01,30.0,473.0,,242.0,93.0,2.5417,130854.0,INLAND
11,-118.12,34.08,35.0,2248.0,,1762.0,622.0,3.0,231190.0,<1H OCEAN
12,-117.91,33.76,20.0,4413.0,,4818.0,1063.0,2.8594,196977.0,<1H OCEAN
13,-119.19,34.2,18.0,3620.0,,3171.0,779.0,3.3409,208753.0,NEAR OCEAN
14,-117.98,33.92,27.0,3700.0,,1793.0,552.0,5.3668,236266.0,<1H OCEAN
15,-117.91,34.02,22.0,6269.0,,5587.0,1251.0,3.8201,156181.0,<1H OCEAN
16,-122.1,37.69,41.0,746.0,,387.0,161.0,3.9063,188547.0,NEAR BAY
17,-121.02,37.48,26.0,467.0,,244.0,83.0,4.1346,186232.0,INLAND
18,-117.05,32.75,36.0,2024.0,,1030.0,390.0,3.8233,143066.0,NEAR OCEAN
19,-120.97,37.43,27.0,1380.0,,810.0,262.0,2.1875,120677.0,INLAND
20,-122.16,37.45,47.0,4234.0,,1808.0,1093.0,4.2297,397978.06,NEAR BAY
21,-118.37,34.07,50.0,2519.0,,1117.0,516.0,4.3667,430224.22,<1H OCEAN
22,-119.73,36.83,8.0,3602.0,,1959.0,580.0,5.3478,144482.0,INLAND
23,-122.39,37.59,32.0,4497.0,,1846.0,715.0,6.1323,476913.82,NEAR OCEAN
24,-117.14,32.9,16.0,3217.0,,2054.0,687.0,4.2234,163760.0,<1H OCEAN
25,-119.38,36.53,38.0,1281.0,,1423.0,293.0,1.9602,57801.0,INLAND
26,-118.36,33.96,26.0,3543.0,,2742.0,951.0,2.5504,157603.0,<1H OCEAN
27,-124.13,40.55,38.0,544.0,,240.0,91.0,3.25,96868.0,<1H OCEAN
28,-121.98,37.96,22.0,2987.0,,1420.0,540.0,3.65,183142.0,INLAND
29,-118.3,33.72,35.0,2790.0,,1167.0,441.0,6.2028,364587.01,NEAR OCEAN
30,-122.17,37.75,38.0,992.0,,732.0,259.0,1.6196,89980.0,NEAR BAY
31,-118.31,34.03,47.0,1315.0,,785.0,245.0,1.23,153647.0,<1H OCEAN
32,-117.23,32.75,5.0,1824.0,,892.0,426.0,3.4286,164230.0,NEAR OCEAN
33,-122.08,37.37,29.0,1229.0,,707.0,194.0,7.1108,449391.54,NEAR BAY
34,-122.5,37.75,44.0,1819.0,,1137.0,354.0,3.4919,274417.0,NEAR OCEAN
35,-118.5,34.46,17.0,10267.0,,4956.0,1483.0,5.5061,246746.01,<1H OCEAN
36,-122.39,37.6,34.0,707.0,,381.0,156.0,4.375,325784.0,NEAR OCEAN
37,-117.96,34.03,35.0,2093.0,,1755.0,403.0,3.4115,155450.0,<1H OCEAN
38,-121.13,38.87,48.0,1127.0,,530.0,186.0,3.0917,129999.0,INLAND
39,-118.17,33.98,41.0,756.0,,873.0,212.0,2.7321,169074.03,<1H OCEAN
40,-118.75,34.29,17.0,5512.0,,2734.0,814.0,6.6073,293336.07,<1H OCEAN
41,-119.45,36.61,24.0,1302.0,,693.0,243.0,3.7917,90643.0,INLAND
42,-120.85,37.78,25.0,421.0,,303.0,106.0,2.2679,87644.0,INLAND
43,-117.98,33.73,18.0,3833.0,,2192.0,996.0,3.4679,197082.0,<1H OCEAN
44,-117.65,34.04,15.0,3393.0,,2039.0,611.0,3.9336,153418.0,INLAND
45,-118.43,34.2,28.0,3386.0,,2240.0,737.0,3.0221,204277.0,<1H OCEAN
46,-117.03,32.73,34.0,2061.0,,1169.0,400.0,3.5096,137942.0,NEAR OCEAN
47,-117.09,32.77,31.0,3062.0,,1263.0,539.0,3.0875,248820.0,NEAR OCEAN
48,-118.3,33.73,42.0,1731.0,,866.0,403.0,2.7451,247207.0,NEAR OCEAN
49,-124.06,40.86,34.0,4183.0,,1891.0,669.0,3.2216,102565.0,NEAR OCEAN
50,-122.91,38.46,18.0,2021.0,,912.0,329.0,4.5,254958.0,<1H OCEAN
51,-118.28,34.25,29.0,2559.0,,1886.0,769.0,2.6036,174967.0,<1H OCEAN
52,-116.95,32.84,31.0,1307.0,,752.0,231.0,3.4286,136305.0,<1H OCEAN
53,-120.4,37.3,28.0,1401.0,,967.0,257.0,1.5917,82621.0,INLAND
54,-118.18,34.04,42.0,1670.0,,1997.0,452.0,2.788,147698.0,<1H OCEAN
55,-119.33,36.3,11.0,3045.0,,1563.0,516.0,5.4337,131944.0,INLAND
56,-117.22,34.11,26.0,2972.0,,1972.0,532.0,2.0388,82633.0,INLAND
57,-117.91,34.05,35.0,3189.0,,1727.0,500.0,5.0758,221087.0,<1H OCEAN
58,-117.2,32.79,29.0,1213.0,,654.0,246.0,4.5987,263272.01,NEAR OCEAN
59,-117.34,33.94,13.0,7910.0,,3382.0,1176.0,5.5563,202453.0,INLAND
60,-118.1,33.74,32.0,2035.0,,934.0,512.0,4.2287,442608.64,NEAR OCEAN
61,-118.36,34.05,42.0,1372.0,,674.0,271.0,2.8793,244709.03,<1H OCEAN
62,-120.93,37.73,14.0,2799.0,,2294.0,596.0,2.6343,93289.0,INLAND
63,-124.0,40.92,29.0,1429.0,,672.0,266.0,2.9485,101462.0,<1H OCEAN
64,-117.98,33.68,24.0,4177.0,,1704.0,606.0,6.2473,274804.0,<1H OCEAN
